M40[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],M41[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485]
0.137484,0.100766,0.0914076,0.0823472,0.102113,0.120796,0.0926747,0.0690055,0.0881345,0.0794307,0.0694103,0.0623806,0.0859392,0.0892614,0.0681173,0.0669047,0.1003,0.0866891,0.151551,0.135569,0.12161,0.127461,0.121572,0.111275,0.100555,0.104386,0.106473,0.120346,0.128333,0.14924,0.115376,0.131453,0.114798,0.12338,0.111072,0.10652
0.143488,0.107586,0.0987634,0.0869858,0.102589,0.125274,0.0978085,0.0730246,0.0969146,0.0837813,0.0731274,0.0648123,0.0834379,0.0979353,0.0723516,0.0697536,0.104974,0.0922385,0.158882,0.135203,0.122999,0.119464,0.12118,0.107633,0.0981674,0.103903,0.107618,0.12024,0.128528,0.147852,0.113831,0.131592,0.111866,0.116205,0.11427,0.101682
0.14747,0.114743,0.106523,0.0907916,0.105852,0.133036,0.0992317,0.0778566,0.0967186,0.0857037,0.0714343,0.0692376,0.0911358,0.0985233,0.0763323,0.0725614,0.103258,0.0935935,0.155478,0.136627,0.121822,0.123395,0.128747,0.115443,0.106191,0.107466,0.109157,0.123465,0.13389,0.149346,0.11862,0.135617,0.119825,0.122038,0.113713,0.104912
0.148232,0.114652,0.109382,0.10031,0.111692,0.135279,0.103647,0.0817916,0.0954121,0.0882092,0.0806472,0.0679729,0.0936666,0.101973,0.0761991,0.0770323,0.108857,0.0968931,0.162334,0.142822,0.128398,0.127202,0.129647,0.114239,0.108647,0.111058,0.1137,0.128332,0.134874,0.151377,0.120845,0.135797,0.120264,0.127381,0.117899,0.110798
0.150961,0.119892,0.111681,0.0949455,0.114028,0.134158,0.104822,0.0794592,0.100205,0.0910964,0.0794183,0.0706707,0.0939576,0.0984673,0.0780957,0.0793856,0.109466,0.0964754,0.167404,0.143892,0.127652,0.133662,0.13125,0.117576,0.111801,0.115528,0.115224,0.125773,0.139081,0.159519,0.125245,0.143105,0.125729,0.129025,0.125363,0.114279
0.15309,0.116664,0.111875,0.0939871,0.110941,0.13639,0.103658,0.0789293,0.0972448,0.0857084,0.0791361,0.0660735,0.0894009,0.0997832,0.0794527,0.0733551,0.108295,0.0939379,0.168149,0.145959,0.129798,0.131236,0.129155,0.119308,0.10923,0.113765,0.113879,0.127069,0.140382,0.155177,0.125287,0.141976,0.125716,0.128407,0.121307,0.111882
0.155721,0.116354,0.102705,0.0941284,0.106309,0.133132,0.100536,0.0805734,0.0953237,0.0863807,0.0758141,0.0661962,0.0875256,0.0956504,0.0742248,0.0729317,0.106306,0.0909574,0.176292,0.148138,0.129197,0.134795,0.132669,0.123116,0.114769,0.116146,0.116858,0.128968,0.137004,0.158191,0.126103,0.146873,0.128023,0.133052,0.12284,0.114334
0.157516,0.113488,0.102605,0.0903263,0.105009,0.130495,0.100019,0.0757094,0.0935166,0.0849344,0.074435,0.0634366,0.0880131,0.0941251,0.0710058,0.0706759,0.103684,0.0907362,0.180176,0.150081,0.130544,0.13298,0.134217,0.120235,0.115213,0.115413,0.115764,0.129021,0.138626,0.156493,0.125473,0.141973,0.124254,0.131105,0.121651,0.112241
0.164269,0.119068,0.107096,0.0932558,0.108463,0.133508,0.0991855,0.0798057,0.0960105,0.0845831,0.0786715,0.0679128,0.0880476,0.0960676,0.0740888,0.0732139,0.106069,0.0931734,0.186372,0.151933,0.132162,0.129283,0.132748,0.117828,0.110051,0.113833,0.116025,0.129184,0.13889,0.156401,0.122034,0.141865,0.125254,0.129444,0.121689,0.111273
0.167553,0.116098,0.106575,0.0921018,0.106685,0.133167,0.0975717,0.0783478,0.0949771,0.0845989,0.0746125,0.0653504,0.0869971,0.0932805,0.073178,0.070837,0.103068,0.0911387,0.197786,0.15291,0.133401,0.135609,0.135003,0.122279,0.116772,0.114927,0.117405,0.130156,0.141244,0.158563,0.126458,0.144234,0.126072,0.132274,0.123669,0.115049
